idx,orig_label,confidence,ig_top_tokens,shap_top_tokens,topk_overlap
0,positive,0.9989896416664124,"growth, sales, 4, may, ., a, 7, to","growth, january, beer, -, in, 46, cent, 4",0.25
1,positive,0.9990133047103882,"from, to, surged, operating, ., eu, m, 21","surged, from, to, eu, profit, r, m, 21",0.75
2,neutral,0.9991549253463745,"of, head, es, the, ., be, of, a","machine, modern, profile, ensure, plaster, equipped, system, to",0.0
3,positive,0.9986405968666077,"versus, profit, for, net, today, of, said, months","versus, swung, profit, to, 2, net, loss, a",0.375
4,neutral,0.999212384223938,"of, the, the, maximum, and, the, 000, r","000, minimum, ,, r, eu, maximum, subscription, amount",0.375
5,neutral,0.9991772770881653,"of, annual, and, is, it, ., unit, eu","employs, some, some, currently, is, it, 55, r",0.25
6,positive,0.998843789100647,"won, has, opened, contract, for, be, technical, shopping","won, contract, a, to, technical, for, provide, the",0.5
7,neutral,0.9991564750671387,"will, be, on, ., a, list, march, vote","of, a, shareholders, g, list, will, en, meeting",0.375
8,neutral,0.999030590057373,"of, had, combined, has, and, ,, azi, and","and, and, and, 000, has, production, these, had",0.375
9,neutral,0.9992165565490723,"includes, for, and, ,, rak, ,, delivery, y","foundations, for, and, including, the, piles, structures, includes",0.375
10,neutral,0.9991484880447388,"is, 2007, take, august, to, acquisition, by, .","place, by, take, expected, acquisition, to, ., 2007",0.75
11,neutral,0.9989891648292542,"., used, meat, the, tal, comes, hk, by","all, meat, hk, the, o, from, almost, by",0.5
12,neutral,0.9991833567619324,"media, not, disclosed, of, the, ,, have, ,","disclosed, whose, have, terms, financial, not, been, transaction",0.375
13,neutral,0.9991886019706726,"is, that, 2, ,, may, 2007, trading, the","trading, ., shares, objective, that, 2007, on, is",0.5
14,neutral,0.9992000460624695,"tel, information, of, for, x, chairman, ., tom","chairman, 400, :, helsinki, distribution, 54, ltd, 60",0.125
15,positive,0.9984782338142395,"ability, profit, poland, program, a, launched, plant, has","ability, profit, launched, program, been, at, the, company",0.5
16,neutral,0.9991303086280823,"be, governance, shall, independent, ', s, ', cap","s, company, majority, plc, ', shall, committees, members",0.375
17,neutral,0.9984095692634583,"increase, ., 2006, is, were, the, to, the","increase, based, number, in, on, granted, the, to",0.375
18,neutral,0.999182403087616,"of, have, 260, iner, oil, ies, nest, crude","000, of, capacity, day, combined, approximately, a, barrels",0.125
19,neutral,0.9992215633392334,"., be, the, cargo, available, company, pages, publishing","after, company, com, on, available, tec, ., statements",0.375
20,positive,0.9989222288131714,"won, ., it, for, today, a, million, company","won, a, ), ), finnish, eu, today, said",0.375
21,neutral,0.9986116886138916,"what, that, east, s, ., exactly, an, residents","happened, recent, was, brought, exactly, what, ., tradition",0.375
22,negative,0.9986518025398254,"down, 7, in, ,, the, from, ., 6","down, eu, 7, from, totaled, ., profit, r",0.5
23,positive,0.9990106821060181,"from, rose, to, r, million, 2008, 19, r","rose, from, profit, to, 17, eu, r, for",0.5
24,neutral,0.9991955161094666,"., determined, value, r, as, eu, ti, of","approximately, determined, as, has, as, food, m, been",0.25
25,positive,0.998975396156311,"from, lifted, in, profit, ed, 4, to, .","rocket, lifted, to, from, ed, 4, eu, 6",0.625
26,neutral,0.9991472959518433,"previously, ., has, different, ,, china, shopping, state","different, contractor, ,, ., large, parts, and, .",0.375
27,positive,0.9990177154541016,"grew, from, to, eps, 0, ., 0, 02","grew, from, 0, eps, ., r, 0, r",0.625
28,negative,0.998643696308136,"down, from, ,, the, r, 42, total, profit","down, total, led, from, 42, eu, ., r",0.625
29,neutral,0.998793363571167,"., city, authorized, workers, spoke, by, which, from","rally, came, spoke, ,, ,, letter, from, administration",0.25
30,neutral,0.9981256127357483,"hired, yesterday, effective, ,, its, had, and, said","had, 1, said, yesterday, von, casper, and, sk",0.5
31,neutral,0.999021053314209,"about, ., contract, company, ,, 11, r, added","added, amounts, about, m, r, contract, ., company",0.75
32,positive,0.9990274906158447,"from, up, was, ., 24, mn, r, ,","up, from, eu, 23, r, profit, operating, .",0.5
33,neutral,0.9991806149482727,"with, is, in, energy, mill, screw, cap, shot","is, shot, a, bag, energy, packed, screw, in",0.625
34,negative,0.9983798265457153,"profit, a, warning, ., company, :, corporation, 2008","profit, warning, for, a, issued, on, (, om",0.375
35,neutral,0.9991576671600342,"going, about, market, analyses, research, publish, ., ,","publish, analyses, ó, about, pakistan, several, the, is",0.375
36,neutral,0.9991486072540283,"is, ., spring, to, expected, transaction, the, be","transaction, completed, expected, the, be, next, spring, to",0.75
37,neutral,0.9990867376327515,"is, ., plant, 2009, to, mid, -, by","operation, mid, 2009, expected, plant, to, commercial, -",0.625
38,neutral,0.9991993308067322,"will, and, ., stock, for, hold, ., yi","yi, hold, day, analysts, markets, in, will, release",0.375
39,negative,0.9985256791114807,"down, eu, sales, 1, ., half, from, ,","down, from, 111, eu, r, in, half, first",0.5
40,neutral,0.9990296363830566,"., liquid, and, use, markets, ,, o, develops","bio, develops, products, and, laboratories, handling, hit, systems",0.25
41,neutral,0.9989711046218872,"be, to, and, to, ., will, of, sunk","depth, fixed, by, bottom, sunk, to, a, to",0.25
42,neutral,0.9990652203559875,"range, from, ., million, says, of, 2008, financial","depending, from, to, million, 70, euros, million, companies",0.25
43,neutral,0.9992566704750061,"is, ., s, se, major, pha, ', owner","owner, is, major, se, pha, capital, ., '",0.875
44,neutral,0.9990189075469971,"tel, c, communications, ., ., vice, e, pa","c, 2004, vice, ., ., 52, 9, president",0.375
45,negative,0.9985945820808411,"loss, per, reported, against, half, eps, r, in","loss, against, per, of, 0, reported, ., of",0.5
46,positive,0.9989705085754395,"won, has, technology, from, from, two, release, .","won, has, large, two, c, ., out, ote",0.5
47,neutral,0.9991586208343506,"is, the, ., of, value, order, 2, .","mn, value, 3, is, ., ., order, 2",0.625
48,neutral,0.9991331696510315,"., was, the, and, divide, profit, of, eu","profit, net, and, of, paid, m, was, eu",0.625
49,neutral,0.9991328120231628,"over, hectares, ., the, six, cover, will, site","cover, over, site, hectares, the, will, six, .",1.0
50,neutral,0.9983439445495605,"is, forecast, 2012, 3, 3, ., the, for","forecast, the, %, for, is, ., ., 3",0.75
51,neutral,0.9992103576660156,"consists, and, and, of, at, ., and, licence","consists, it, eu, values, r, ., at, order",0.375
52,positive,0.9990284442901611,"boosted, ,, its, year, to, last, ., million","boosted, year, 22, sales, ., to, its, per",0.625
53,neutral,0.9989235997200012,"generated, and, a, turnover, ., its, operates, stores","generated, a, and, of, turnover, ., 76, n",0.625
54,positive,0.998920202255249,"won, expand, order, rator, in, million, the, today","expand, it, won, the, a, of, norwegian, miner",0.375
55,neutral,0.9981222748756409,"., ,, beta, sec, bee, lang, er, aus","., finale, beta, -, test, er, die, ,",0.5
56,positive,0.9988406300544739,"savings, year, this, 3, bring, ., m, eu","savings, bring, of, cost, will, about, this, m",0.5
57,negative,0.998432457447052,"lower, demand, was, than, especially, germany, for, in","lower, demand, than, expected, products, was, especially, fireplace",0.625
58,positive,0.99847012758255,"signed, deal, with, said, ., long, company, term","signed, a, term, it, -, said, thursday, long",0.5
59,positive,0.9990158081054688,"rose, to, from, from, ., to, r, in","rose, from, from, eu, to, 1, mn, 5",0.375
60,positive,0.9988341927528381,"awarded, has, for, been, a, ., by, contract","awarded, a, contract, by, tung, adt, ver, wal",0.5
61,neutral,0.999076247215271,"and, insurance, and, two, services, ., business, non","report, able, segments, business, insurance, services, non, two",0.625
62,neutral,0.9862030744552612,"continued, give, ownership, control, its, its, operations, .","give, control, of, continued, slaughter, swedish, the, company",0.375
