idx,orig_label,orig_conf,pert_label,pert_conf,label_flip,topk_overlap,xai_change,orig_top_tokens,pert_top_tokens
0,positive,0.9989896416664124,positive,0.9988574981689453,0,0.4,0.6,"growth, sales, 4, may, .","growth, beer, posted, sales, 7"
1,positive,0.9990133047103882,positive,0.9989280104637146,0,0.6,0.4,"from, to, surged, operating, .","surged, ., ,, operating, 21"
2,neutral,0.9991549253463745,neutral,0.9990296363830566,0,0.4,0.6,"of, head, es, the, .","one, equipped, head, ., modern"
3,positive,0.9986405968666077,positive,0.9976389408111572,0,0.6,0.4,"versus, profit, for, net, today","versus, net, today, eu, net"
4,neutral,0.999212384223938,neutral,0.9990969896316528,0,0.0,1.0,"of, the, the, maximum, and","amount, loan, minimum, subscription, capital"
5,neutral,0.9991772770881653,neutral,0.9990944862365723,0,0.0,1.0,"of, annual, and, is, it","., some, unit, some, people"
6,positive,0.998843789100647,positive,0.6922613382339478,0,0.4,0.6,"won, has, opened, contract, for","won, provide, ., contract, ,"
7,neutral,0.9991564750671387,neutral,0.9990127086639404,0,0.0,1.0,"will, be, on, ., a","vote, held, meeting, march, shareholders"
8,neutral,0.999030590057373,neutral,0.9991599321365356,0,0.19999999999999996,0.8,"of, had, combined, has, and","output, combined, ,, azi, eu"
9,neutral,0.9992165565490723,neutral,0.9991694688796997,0,0.4,0.6,"includes, for, and, ,, rak","includes, ,, ,, bridge, bridge"
10,neutral,0.9991484880447388,neutral,0.9991849064826965,0,0.4,0.6,"is, 2007, take, august, to","end, acquisition, august, 2007, expected"
11,neutral,0.9989891648292542,neutral,0.9991389513015747,0,0.0,1.0,"., used, meat, the, tal","all, almost, company, comes, according"
12,neutral,0.9991833567619324,neutral,0.9992302656173706,0,0.19999999999999996,0.8,"media, not, disclosed, of, the","terms, ti, %, ,, media"
13,neutral,0.9991886019706726,neutral,0.9991738200187683,0,0.0,1.0,"is, that, 2, ,, may","., 2007, shares, trading, objective"
14,neutral,0.9992000460624695,neutral,0.999165415763855,0,0.4,0.6,"tel, information, of, for, x","., information, tel, ., :"
15,positive,0.9984782338142395,positive,0.531017541885376,0,0.6,0.4,"ability, profit, poland, program, a","ability, profit, plant, program, company"
16,neutral,0.9991303086280823,neutral,0.9992126226425171,0,0.4,0.6,"be, governance, shall, independent, '","committees, governance, majority, cap, shall"
17,neutral,0.9984095692634583,neutral,0.6491116285324097,0,0.4,0.6,"increase, ., 2006, is, were","number, increase, based, 2006, under"
18,neutral,0.999182403087616,neutral,0.9992178678512573,0,0.19999999999999996,0.8,"of, have, 260, iner, oil","., combined, oil, oil, day"
19,neutral,0.9992215633392334,neutral,0.9992104768753052,0,0.19999999999999996,0.8,"., be, the, cargo, available","available, www, statements, pages, company"
20,positive,0.9989222288131714,positive,0.9983286261558533,0,0.4,0.6,"won, ., it, for, today","won, covers, contract, eu, today"
21,neutral,0.9986116886138916,neutral,0.9990032315254211,0,0.4,0.6,"what, that, east, s, .","what, exactly, s, making, residents"
22,negative,0.9986518025398254,negative,0.998426079750061,0,0.19999999999999996,0.8,"down, 7, in, ,, the","down, period, mn, operating, corresponding"
23,positive,0.9990106821060181,positive,0.9990105628967285,0,0.4,0.6,"from, rose, to, r, million","rose, eu, r, net, profit"
24,neutral,0.9991955161094666,neutral,0.9991820454597473,0,0.4,0.6,"., determined, value, r, as","determined, mari, approximately, 15, ."
25,positive,0.998975396156311,positive,0.9982726573944092,0,0.6,0.4,"from, lifted, in, profit, ed","profit, rocket, ed, lifted, net"
26,neutral,0.9991472959518433,neutral,0.9991703033447266,0,0.4,0.6,"previously, ., has, different, ,","hotels, factories, previously, ,, large"
27,positive,0.9990177154541016,positive,0.9988963603973389,0,0.6,0.4,"grew, from, to, eps, 0","grew, ., 0, eps, ."
28,negative,0.998643696308136,negative,0.9983838796615601,0,0.19999999999999996,0.8,"down, from, ,, the, r","down, profit, total, before, year"
29,neutral,0.998793363571167,neutral,0.9985682964324951,0,0.6,0.4,"., city, authorized, workers, spoke","them, ., city, authorized, came"
30,neutral,0.9981256127357483,neutral,0.9986667633056641,0,0.4,0.6,"hired, yesterday, effective, ,, its","hired, said, yesterday, ), ."
31,neutral,0.999021053314209,neutral,0.999116837978363,0,0.6,0.4,"about, ., contract, company, ,","about, ., contract, amounts, value"
32,positive,0.9990274906158447,positive,0.9990160465240479,0,0.19999999999999996,0.8,"from, up, was, ., 24","up, ,, operating, mn, mn"
33,neutral,0.9991806149482727,neutral,0.9991025924682617,0,0.19999999999999996,0.8,"with, is, in, energy, mill","., cap, screw, mill, bag"
34,negative,0.9983798265457153,negative,0.9970421195030212,0,0.4,0.6,"profit, a, warning, ., company","profit, issued, company, ), tuesday"
35,neutral,0.9991576671600342,neutral,0.9991536140441895,0,0.4,0.6,"going, about, market, analyses, research","publish, analyses, about, data, philippines"
36,neutral,0.9991486072540283,neutral,0.9989902377128601,0,0.6,0.4,"is, ., spring, to, expected","spring, next, completed, expected, ."
37,neutral,0.9990867376327515,neutral,0.998734176158905,0,0.19999999999999996,0.8,"is, ., plant, 2009, to","2009, mid, -, expected, enter"
38,neutral,0.9991993308067322,neutral,0.9991297125816345,0,0.4,0.6,"will, and, ., stock, for","., yi, stock, exchange, hold"
39,negative,0.9985256791114807,negative,0.9984003901481628,0,0.19999999999999996,0.8,"down, eu, sales, 1, .","down, ,, half, reports, r"
40,neutral,0.9990296363830566,neutral,0.9992151260375977,0,0.0,1.0,"., liquid, and, use, markets","healthcare, y, research, manufactures, j"
41,neutral,0.9989711046218872,neutral,0.9979459643363953,0,0.0,1.0,"be, to, and, to, .","sunk, some, bottom, depth, mud"
42,neutral,0.9990652203559875,neutral,0.9988259673118591,0,0.4,0.6,"range, from, ., million, says","depending, ., range, two, deal"
43,neutral,0.9992566704750061,neutral,0.9991644620895386,0,0.4,0.6,"is, ., s, se, major","s, ., venture, firm, '"
44,neutral,0.9990189075469971,neutral,0.9990339279174805,0,0.8,0.19999999999999996,"tel, c, communications, ., .","tel, communications, c, vice, ."
45,negative,0.9985945820808411,negative,0.9985306262969971,0,0.8,0.19999999999999996,"loss, per, reported, against, half","loss, reported, per, against, ,"
46,positive,0.9989705085754395,positive,0.9988590478897095,0,0.4,0.6,"won, has, technology, from, from","won, orders, two, 00, technology"
47,neutral,0.9991586208343506,neutral,0.9989588260650635,0,0.4,0.6,"is, the, ., of, value","order, value, usd, ., ."
48,neutral,0.9991331696510315,neutral,0.9989355206489563,0,0.4,0.6,"., was, the, and, divide","divide, profit, ece, paid, ."
49,neutral,0.9991328120231628,neutral,0.9992269277572632,0,0.8,0.19999999999999996,"over, hectares, ., the, six","site, six, over, ., hectares"
50,neutral,0.9983439445495605,neutral,0.996020495891571,0,0.4,0.6,"is, forecast, 2012, 3, 3","3, 3, 2012, %, ."
51,neutral,0.9992103576660156,neutral,0.99918133020401,0,0.19999999999999996,0.8,"consists, and, and, of, at","consists, ., values, ., services"
52,positive,0.9990284442901611,positive,0.9990237951278687,0,0.4,0.6,"boosted, ,, its, year, to","boosted, ,, last, which, ."
53,neutral,0.9989235997200012,neutral,0.9989848732948303,0,0.4,0.6,"generated, and, a, turnover, .","stores, operates, generated, ., countries"
54,positive,0.998920202255249,positive,0.9986652135848999,0,0.4,0.6,"won, expand, order, rator, in","won, today, eu, r, expand"
55,neutral,0.9981222748756409,neutral,0.9981222748756409,0,1.0,0.0,"., ,, beta, sec, bee","., ,, beta, sec, bee"
56,positive,0.9988406300544739,positive,0.9988646507263184,0,0.4,0.6,"savings, year, this, 3, bring","savings, cost, bring, about, ."
57,negative,0.998432457447052,negative,0.9982932209968567,0,0.6,0.4,"lower, demand, was, than, especially","than, lower, expected, demand, ,"
58,positive,0.99847012758255,positive,0.9925089478492737,0,0.6,0.4,"signed, deal, with, said, .","deal, signed, ., long, -"
59,positive,0.9990158081054688,positive,0.9989998936653137,0,0.4,0.6,"rose, to, from, from, .","rose, mn, mn, r, ."
60,positive,0.9988341927528381,positive,0.9923020601272583,0,0.19999999999999996,0.8,"awarded, has, for, been, a","awarded, gmbh, contract, mainz, chassis"
61,neutral,0.999076247215271,neutral,0.9990882873535156,0,0.19999999999999996,0.8,"and, insurance, and, two, services","insurance, ,, non, ., able"
62,neutral,0.9862030744552612,neutral,0.9989262223243713,0,0.0,1.0,"continued, give, ownership, control, its","said, swedish, ing, at, ."
63,neutral,0.9991254210472107,neutral,0.9990934133529663,0,0.19999999999999996,0.8,"to, the, members, addition, established","., -, stage, established, :"
64,neutral,0.9991394281387329,neutral,0.99892657995224,0,0.0,1.0,"be, be, to, o, in","similar, ,, crane, crane, corporation"
65,neutral,0.9991812109947205,neutral,0.9991408586502075,0,0.4,0.6,"news, range, of, and, lated","lated, ., range, today, s"
66,neutral,0.9991909861564636,neutral,0.999152660369873,0,0.19999999999999996,0.8,"be, ., can, material, after","., company, presentation, website, s"
67,neutral,0.9991030693054199,neutral,0.9990954399108887,0,0.19999999999999996,0.8,"are, and, and, ., approximately","e, units, approximately, manufacturing, er"
68,positive,0.9989835619926453,positive,0.9985309839248657,0,0.6,0.4,"from, lifted, in, profit, ed","profit, rocket, ed, lifted, net"
69,negative,0.998164713382721,negative,0.7301565408706665,0,0.4,0.6,"lost, has, 4, ., ki","lost, calculate, failed, ., project"
70,positive,0.9988915324211121,positive,0.9988822340965271,0,0.6,0.4,"growing, currently, cent, ., ,","growing, fiscal, cent, stands, ,"
71,neutral,0.9991914629936218,neutral,0.9990909099578857,0,0.4,0.6,"is, ., value, about, of","about, contracts, mn, r, ."
72,positive,0.9990378618240356,positive,0.9990007281303406,0,0.6,0.4,"increased, from, compared, period, sales","increased, period, ,, sales, eu"
73,negative,0.9985328912734985,negative,0.9985155463218689,0,0.4,0.6,"decreased, from, for, million, said","decreased, net, said, today, ."
74,neutral,0.9991012811660767,neutral,0.999153733253479,0,0.4,0.6,"and, for, accounting, equity, about","about, ka, accounting, ., neo"
75,negative,0.9983929991722107,negative,0.9981362819671631,0,0.6,0.4,"loss, reported, net, a, profit","loss, net, compared, profit, euro"
76,positive,0.9981274008750916,positive,0.9976765513420105,0,0.4,0.6,"compared, to, ., total, ,","compared, negative, eu, ,, 71"
77,neutral,0.9991359114646912,neutral,0.9983916878700256,0,0.19999999999999996,0.8,"is, a, with, ,, ,","employees, ., headquartered, manufacturer, ,"
78,positive,0.9987855553627014,positive,0.9976477026939392,0,0.4,0.6,"increase, profit, a, net, quarter","increase, profit, percent, euro, cuts"
79,neutral,0.9991719722747803,neutral,0.9991794228553772,0,0.19999999999999996,0.8,"spread, be, 2011, ,, will","mainly, over, 2011, money, 2012"
