idx,text,orig_label,orig_label_id,orig_conf_max,p_orig_class_before,top_ig_tokens,masked_text,masked_label,masked_conf_max,p_orig_class_after,fidelity_drop,fidelity_drop_maxconf
0,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .",positive,2,0.9989896416664124,0.9989896416664124,"growth, sales, 4, may, .","Svyturys-Utenos Alus, which is controlled by the Nordic group Baltic Beverages Holding ( BBH ), posted a 7-per-cent in beer for January- to 4622 million litres",neutral,0.6047353744506836,0.04309535026550293,0.9558942914009094,0.39425426721572876
1,"Operating profit surged to EUR21m from EUR106 ,000 .",positive,2,0.9990133047103882,0.9990133047103882,"from, to, surged, operating, .","profit EUR21m EUR106,000",neutral,0.99860018491745,0.000525368086528033,0.9984879366238602,0.0004131197929382324
2,One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .,neutral,1,0.9991549253463745,0.9991549253463745,"of, head, es, the, .",One headboxes will be equipped with a modern consistency control system to ensure cross machine profile plasterboard,neutral,0.9991790652275085,0.9991790652275085,-2.4139881134033203e-05,-2.4139881134033203e-05
3,"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU",positive,2,0.9986405968666077,0.9986405968666077,"versus, profit, for, net, today","ADP News - Nov 6, 2008 - Finnish retail software developer Aldata Solution Oyj OMX: ALD1V said that it swung to a of EUR 2.1 million USD 2.7 m the first nine months of 2008 a loss of EU",negative,0.9929018616676331,0.006511969491839409,0.9921286273747683,0.005738735198974609
4,"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .",neutral,1,0.999212384223938,0.999212384223938,"of, the, the, maximum, and","amount capital loan will be EUR30m minimum subscription -- EUR10,000.",neutral,0.9992045760154724,0.9992045760154724,7.808208465576172e-06,7.808208465576172e-06
5,The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .,neutral,1,0.9991772770881653,0.9991772770881653,"of, annual, and, is, it",The net sales the unit some EUR 5 million currently employs some 55 people.,neutral,0.9991455078125,0.9991455078125,3.17692756652832e-05,3.17692756652832e-05
6,"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .",positive,2,0.998843789100647,0.998843789100647,"won, has, opened, contract, for","Finnish construction group Lemminkainen Oyj HEL: LEM1S said today it a to provide technical services the Nevsky Centre shopping mall to be in November in St Petersburg, Russia.",neutral,0.9991415739059448,0.0004232913488522172,0.9984204977517948,-0.00029778480529785156
7,A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,neutral,1,0.9991564750671387,0.9991564750671387,"will, be, on, ., a",meeting of Glisten shareholders to vote the bid held 12 March,neutral,0.999043881893158,0.999043881893158,0.00011259317398071289,0.00011259317398071289
8,"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 .",neutral,1,0.999030590057373,0.999030590057373,"of, had, combined, has, and","Componenta production lines for similar-sized products at Karkkila in Finland, at Weert in the Netherlands at Orhangazi in Turkey, these a output approximately 100,000 tonnes net sales EUR 135 million in 2007.",neutral,0.9991090893745422,0.9991090893745422,-7.849931716918945e-05,-7.849931716918945e-05
9,"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .",neutral,1,0.9992165565490723,0.9992165565490723,"includes, for, and, ,, rak",Ruukki 's delivery steel structures including installation Krakeroy bascule bridge steel piles the bridge foundations.,neutral,0.9986363053321838,0.9986363053321838,0.0005802512168884277,0.0005802512168884277
