idx,orig_label,text,top_tokens_orig,text_no_punct,top_tokens_no_punct,stability_no_punct,text_no_stopwords,top_tokens_no_stopwords,stability_no_stopwords
0,positive,"Svyturys-Utenos Alus , which is controlled by the Nordic group Baltic Beverages Holding ( BBH ) , posted a 4.7-per-cent growth in beer sales for January-May to 46.22 million litres .","growth, sales, 4, may, .",SvyturysUtenos Alus which is controlled by the Nordic group Baltic Beverages Holding BBH posted a 47percent growth in beer sales for JanuaryMay to 4622 million litres,"growth, posted, sales, which, for",0.4,"Svyturys - Utenos Alus, which controlled Nordic group Baltic Beverages Holding ( BBH ), posted 4. 7 - per - cent growth beer sales January - 46. 22 million litres.","growth, beer, posted, sales, 7",0.4
1,positive,"Operating profit surged to EUR21m from EUR106 ,000 .","from, to, surged, operating, .",Operating profit surged to EUR21m from EUR106 000,"from, to, surged, eu, 21",0.6,"Operating profit surged EUR21m EUR106, 000.","surged, ., ,, operating, 21",0.6
2,neutral,One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .,"of, head, es, the, .",One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard,"of, head, es, profile, the",0.8,One headboxes equipped modern consistency control system ensure cross machine profile plasterboard.,"one, equipped, head, ., modern",0.4
3,positive,"ADP News - Nov 6 , 2008 - Finnish retail software developer Aldata Solution Oyj OMX : ALD1V said today that it swung to a net profit of EUR 2.1 million USD 2.7 m for the first nine months of 2008 versus a net loss of EU","versus, profit, for, net, today",ADP News Nov 6 2008 Finnish retail software developer Aldata Solution Oyj OMX ALD1V said today that it swung to a net profit of EUR 21 million USD 27 m for the first nine months of 2008 versus a net loss of EU,"versus, for, profit, loss, 2008",0.6,"ADP News - Nov 6, 2008 - Finnish retail software developer Aldata Solution Oyj OMX: ALD1V said today swung net profit EUR 2. 1 million USD 2. 7 m first nine months 2008 versus net loss EU","versus, net, today, eu, net",0.6
4,neutral,"The maximum amount of the capital loan will be EUR30m and the minimum subscription -- EUR10 ,000 .","of, the, the, maximum, and",The maximum amount of the capital loan will be EUR30m and the minimum subscription EUR10 000,"and, of, the, 000, be",0.6,"maximum amount capital loan EUR30m minimum subscription - - EUR10, 000.","amount, loan, minimum, subscription, capital",0.0
5,neutral,The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people .,"of, annual, and, is, it",The annual net sales of the unit is some EUR 5 million and it currently employs some 55 people,"of, annual, and, is, some",0.8,annual net sales unit some EUR 5 million currently employs some 55 people.,"., some, unit, some, people",0.0
6,positive,"Finnish construction group Lemminkainen Oyj HEL : LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg , Russia .","won, has, opened, contract, for",Finnish construction group Lemminkainen Oyj HEL LEM1S said today it has won a contract to provide technical services for the Nevsky Centre shopping mall to be opened in November in St Petersburg Russia,"won, has, a, contract, today",0.6,"Finnish construction group Lemminkainen Oyj HEL: LEM1S said today won contract provide technical services Nevsky Centre shopping mall opened November St Petersburg, Russia.","won, provide, ., contract, ,",0.4
7,neutral,A meeting of Glisten shareholders to vote on the bid will be held on 12 March .,"will, be, on, ., a",A meeting of Glisten shareholders to vote on the bid will be held on 12 March,"will, be, on, a, of",0.8,meeting Glisten shareholders vote bid held 12 March.,"vote, held, meeting, march, shareholders",0.0
8,neutral,"Componenta has production lines for similar-sized products at Karkkila in Finland , at Weert in the Netherlands and at Orhangazi in Turkey , and these had a combined output of approximately 100,000 tonnes and net sales of EUR 135 million in 2007 .","of, had, combined, has, and",Componenta has production lines for similarsized products at Karkkila in Finland at Weert in the Netherlands and at Orhangazi in Turkey and these had a combined output of approximately 100000 tonnes and net sales of EUR 135 million in 2007,"2007, of, and, azi, has",0.6,"Componenta production lines similar - sized products Karkkila Finland, Weert Netherlands Orhangazi Turkey, combined output approximately 100, 000 tonnes net sales EUR 135 million 2007.","output, combined, ,, azi, eu",0.2
9,neutral,"Ruukki 's delivery includes steel structures , including installation , for Krakeroy bascule bridge and steel piles for the bridge foundations .","includes, for, and, ,, rak",Ruukki s delivery includes steel structures including installation for Krakeroy bascule bridge and steel piles for the bridge foundations,"includes, for, the, for, s",0.4,"Ruukki ' s delivery includes steel structures, including installation, Krakeroy bascule bridge steel piles bridge foundations.","includes, ,, ,, bridge, bridge",0.4
